"","results","se","(lower","upper)","missInfo","model_type","term","estimate","conf.low","conf.high","plot_estimate","model_group"
"inundation_exposureTRUE:hurricane_3weekTRUE",0.0640136821055838,0.328781746197687,-0.580386855562004,0.708414219773171,"0 %","CITS: w/ pooled imputation (3-week)","inundation_exposureTRUE:hurricane_3weekTRUE",1.06610698525005,0.559681808659156,2.03076835161376,"1.07 [0.56, 2.03]","CITS: w/ pooled imputation"
"inundation_exposureTRUE:hurricane_5weekTRUE",0.0862274609442266,0.272066780994213,-0.447013836119446,0.619468758007899,"0 %","CITS: w/ pooled imputation (5-week)","inundation_exposureTRUE:hurricane_5weekTRUE",1.09005424487619,0.639535059530111,1.8579407634753,"1.09 [0.64, 1.86]","CITS: w/ pooled imputation"
"inundation_exposureTRUE:hurricane_8weekTRUE",0.0923582718127144,0.223690855803844,-0.346067993101785,0.530784536727214,"0 %","CITS: w/ pooled imputation (8-week)","inundation_exposureTRUE:hurricane_8weekTRUE",1.0967576890654,0.707464382773351,1.70026570639308,"1.10 [0.71, 1.70]","CITS: w/ pooled imputation"
