"","model_id","term","estimate","std.error","statistic","p.value","conf.low","conf.high","model_type","model_group","null.deviance","df.null","logLik","AIC","BIC","deviance","df.residual","nobs","plot_estimate"
"1",1,"inundation_exposureTRUE:hurricane_3weekTRUE",1.10741927836142,0.316854413728674,0.322016451419264,0.747448752762147,0.594258638649601,2.07119380917655,"CITS: main model (3-week)","CITS: main model",948188.649847976,7939,NA,NA,NA,684452.316395799,7899,7940,"1.11 [0.59, 2.07]"
"2",6,"inundation_exposureTRUE:hurricane_5weekTRUE",1.14358910596295,0.261351060001051,0.513377123206045,0.607701903133216,0.685189434467552,1.91301454942916,"CITS: main model (5-week)","CITS: main model",948188.649847978,7939,NA,NA,NA,684421.710541403,7899,7940,"1.14 [0.69, 1.91]"
"3",10,"inundation_exposureTRUE:hurricane_8weekTRUE",1.15660344127909,0.214748719232407,0.677478508827964,0.498122242768651,0.759371559375618,1.76417134101111,"CITS: main model (8-week)","CITS: main model",948188.649847967,7939,NA,NA,NA,684399.357589225,7899,7940,"1.16 [0.76, 1.76]"
