"","model_id","term","estimate","std.error","statistic","p.value","conf.low","conf.high","model_type","model_group","null.deviance","df.null","logLik","AIC","BIC","deviance","df.residual","nobs","plot_estimate"
"1",3,"high_private_wellsTRUE:hurricane_3weekTRUE",0.919858145629538,0.448903627970896,-0.186088516901017,0.852380125252104,0.353194023662036,2.10392472685056,"CITS: private well groups (3-week)","CITS: private wells",948188.649847978,7939,NA,NA,NA,707319.900307306,7899,7940,"0.92 [0.35, 2.10]"
"2",6,"high_private_wellsTRUE:hurricane_5weekTRUE",0.970320521835258,0.362713562998311,-0.083065069129278,0.93380190540766,0.461185632157531,1.92877955086078,"CITS: private well groups (5-week)","CITS: private wells",948188.649847979,7939,NA,NA,NA,707319.084005182,7899,7940,"0.97 [0.46, 1.93]"
"3",9,"high_private_wellsTRUE:hurricane_8weekTRUE",0.964250030711034,0.297447470459501,-0.122390181997185,0.902593127210276,0.527737845589201,1.70148056120607,"CITS: private well groups (8-week)","CITS: private wells",948188.649847975,7939,NA,NA,NA,707319.815126711,7899,7940,"0.96 [0.53, 1.70]"
