"","model_id","term","estimate","std.error","statistic","p.value","conf.low","conf.high","model_type","model_group","null.deviance","df.null","logLik","AIC","BIC","deviance","df.residual","nobs","plot_estimate"
"1",2,"inundation_exposureTRUE:hurricane_3weekTRUE",1.10630230182415,0.316994756951592,0.318690427813427,0.749969700043812,0.593481766309667,2.06964376469814,"CITS: excl. foodborne illness (3-week)","Sensitivity analyses",946747.609943626,7939,NA,NA,NA,683472.445728718,7899,7940,"1.11 [0.59, 2.07]"
"2",14,"inundation_exposureTRUE:hurricane_3weekTRUE",1.12615020289492,0.307262759447638,0.386655760514817,0.699021465726856,0.615644374909466,2.06799227383444,"CITS: season FEs","Sensitivity analyses",948188.649847976,7939,NA,NA,NA,685410.377483703,7915,7940,"1.13 [0.62, 2.07]"
"3",15,"inundation_exposureTRUE:hurricane_3weekTRUE",1.09494544615264,0.528780278440329,0.171535408676226,0.863802790928123,0.393115200358059,3.22856953720313,"CITS: negative binomial (3-week)","Sensitivity analyses",9605.53951049627,7939,-35161.7572516777,70407.5145033554,70700.6605826335,9069.73179609612,7899,7940,"1.09 [0.39, 3.23]"
"4",16,"inundation_exposureTRUE:hurricane_5weekTRUE",1.14723971758287,0.434756802913907,0.315944018971664,0.752044999560734,0.492494624037562,2.75232999219975,"CITS: negative binomial (5-week)","Sensitivity analyses",9605.71719770468,7939,-35161.6718504774,70407.3437009549,70700.489780233,9069.72736990475,7899,7940,"1.15 [0.49, 2.75]"
"5",17,"inundation_exposureTRUE:hurricane_8weekTRUE",1.16455604053708,0.350952574078752,0.434075554805814,0.66423357622127,0.587868712023974,2.34705719269052,"CITS: negative binomial (8-week)","Sensitivity analyses",9605.76680682542,7939,-35161.6478118504,70407.2956237008,70700.441702979,9069.72574282607,7899,7940,"1.16 [0.59, 2.35]"
"6",18,"inundation_exposureTRUE:hurricane_3weekTRUE",1.09041990288301,0.317995599957728,0.272213999415467,0.785464594818945,0.583832863531598,2.04392383939255,"CITS: mean daily temp + humidity","Sensitivity analyses",948188.649847974,7939,NA,NA,NA,673937.886833674,7897,7940,"1.09 [0.58, 2.04]"
"7",19,"inundation_exposureTRUE:hurricane_3weekTRUE",1.09285684395528,0.318345192900318,0.278927488959836,0.78030777601584,0.584731976546747,2.04993432776906,"CITS: max daily temp + humidity","Sensitivity analyses",948188.64984797,7939,NA,NA,NA,676092.24895141,7897,7940,"1.09 [0.58, 2.05]"
"8",20,"inundation_exposureTRUE:hurricane_3weekTRUE",1.08953945818646,0.317253832073583,0.270304352103482,0.786933181009651,0.584216470995909,2.03925827549069,"CITS: min daily temp + humidity","Sensitivity analyses",948188.649847971,7939,NA,NA,NA,672661.033074814,7897,7940,"1.09 [0.58, 2.04]"
"9",21,"inundation_exposureTRUE:hurricane_3weekTRUE",1.13997566885861,0.32136991067426,0.407651478003322,0.683540754544154,0.606391282640334,2.15068292320155,"CITS: excl. 5-week period","Sensitivity analyses",932945.049999214,7839,NA,NA,NA,672113.813572788,7799,7840,"1.14 [0.61, 2.15]"
