"","model_id","term","estimate","std.error","statistic","p.value","conf.low","conf.high","model_type","model_group","null.deviance","df.null","logLik","AIC","BIC","deviance","df.residual","nobs","plot_estimate"
"1",3,"hurricane_3weekTRUE",1.00079733297618,0.166364436385899,0.00479077916183957,0.996177646568601,0.712358603419429,1.36970340531374,"Non-controlled ITS (3-week)","ITS",948188.649847988,7939,NA,NA,NA,718187.870865196,7919,7940,"1.00 [0.71, 1.37]"
"2",4,"hurricane_3weekTRUE",1.08130714806007,0.0915877259961679,0.853505540335065,0.393920975065701,0.899896524799795,1.28893581436331,"Non-controlled ITS: state-level (3-week)","ITS",231305.843260643,396,NA,NA,NA,144704.764863939,377,397,"1.08 [0.90, 1.29]"
"3",7,"hurricane_5weekTRUE",1.03038543910095,0.13721682012958,0.218143409332267,0.827322996818131,0.78225653777401,1.34047162673086,"Non-controlled ITS (5-week)","ITS",948188.649847984,7939,NA,NA,NA,718181.267479746,7919,7940,"1.03 [0.78, 1.34]"
"4",8,"hurricane_5weekTRUE",1.07937269307823,0.0764046626054987,0.999677637939122,0.31810773701791,0.927291311648099,1.2512492843409,"Non-controlled ITS: state-level (5-week)","ITS",231305.843260643,396,NA,NA,NA,144613.875081363,377,397,"1.08 [0.93, 1.25]"
"5",11,"hurricane_8weekTRUE",1.02008447730753,0.112760769599333,0.176350736405121,0.860022914165044,0.814522702847769,1.26774958268472,"Non-controlled ITS (8-week)","ITS",948188.649847975,7939,NA,NA,NA,718183.547697513,7919,7940,"1.02 [0.81, 1.27]"
"6",12,"hurricane_8weekTRUE",1.08416002467172,0.0627334560711475,1.28807691172519,0.198509213702862,0.957495841049975,1.22451539380604,"Non-controlled ITS: state-level (8-week)","ITS",231305.843260643,396,NA,NA,NA,144396.244537035,377,397,"1.08 [0.96, 1.22]"
