"","zip3","mean_flood_value","median_flood_value","max_flood_value","inundation_exposure","total_population","year","weighted_percent_wells"
"1","270",0.515583180146162,0.604878035840828,0.89983827951837,TRUE,288611,2016,40.4816498016009
"2","270",0.515583180146162,0.604878035840828,0.89983827951837,TRUE,290011,2017,40.4816498016009
"3","270",0.515583180146162,0.604878035840828,0.89983827951837,TRUE,289174,2018,40.4816498016009
"4","270",0.515583180146162,0.604878035840828,0.89983827951837,TRUE,290772,2019,40.4816498016009
"5","270",0.515583180146162,0.604878035840828,0.89983827951837,TRUE,293911,2020,40.4816498016009
"6","270",0.515583180146162,0.604878035840828,0.89983827951837,TRUE,290487,2021,40.4816498016009
"7","270",0.515583180146162,0.604878035840828,0.89983827951837,TRUE,294943,2022,40.4816498016009
"8","270",0.515583180146162,0.604878035840828,0.89983827951837,TRUE,297444,2023,40.4816498016009
"9","270",0.515583180146162,0.604878035840828,0.89983827951837,TRUE,297444,2024,40.4816498016009
"10","271",0.476337280786717,0.446629639994592,1,FALSE,261423,2016,0
"11","271",0.476337280786717,0.446629639994592,1,FALSE,261857,2017,0
"12","271",0.476337280786717,0.446629639994592,1,FALSE,264130,2018,0
"13","271",0.476337280786717,0.446629639994592,1,FALSE,265541,2019,0
"14","271",0.476337280786717,0.446629639994592,1,FALSE,268471,2020,0
"15","271",0.476337280786717,0.446629639994592,1,FALSE,270937,2021,0
"16","271",0.476337280786717,0.446629639994592,1,FALSE,273233,2022,0
"17","271",0.476337280786717,0.446629639994592,1,FALSE,275105,2023,0
"18","271",0.476337280786717,0.446629639994592,1,FALSE,275105,2024,0
"19","272",0.464547104743235,0.402021517397579,0.981534499299315,FALSE,593014,2016,21.3922354359869
"20","272",0.464547104743235,0.402021517397579,0.981534499299315,FALSE,597689,2017,21.3922354359869
"21","272",0.464547104743235,0.402021517397579,0.981534499299315,FALSE,605274,2018,21.3922354359869
"22","272",0.464547104743235,0.402021517397579,0.981534499299315,FALSE,608494,2019,21.3922354359869
"23","272",0.464547104743235,0.402021517397579,0.981534499299315,FALSE,615750,2020,21.3922354359869
"24","272",0.464547104743235,0.402021517397579,0.981534499299315,FALSE,620894,2021,21.3922354359869
"25","272",0.464547104743235,0.402021517397579,0.981534499299315,FALSE,621923,2022,21.3922354359869
"26","272",0.464547104743235,0.402021517397579,0.981534499299315,FALSE,627487,2023,21.3922354359869
"27","272",0.464547104743235,0.402021517397579,0.981534499299315,FALSE,627487,2024,21.3922354359869
"28","273",0.438674551607863,0.36040586803458,0.96233982754656,FALSE,388372,2016,36.7812142038946
"29","273",0.438674551607863,0.36040586803458,0.96233982754656,FALSE,389782,2017,36.7812142038946
"30","273",0.438674551607863,0.36040586803458,0.96233982754656,FALSE,391770,2018,36.7812142038946
"31","273",0.438674551607863,0.36040586803458,0.96233982754656,FALSE,394093,2019,36.7812142038946
"32","273",0.438674551607863,0.36040586803458,0.96233982754656,FALSE,395476,2020,36.7812142038946
"33","273",0.438674551607863,0.36040586803458,0.96233982754656,FALSE,400179,2021,36.7812142038946
"34","273",0.438674551607863,0.36040586803458,0.96233982754656,FALSE,405030,2022,36.7812142038946
"35","273",0.438674551607863,0.36040586803458,0.96233982754656,FALSE,410822,2023,36.7812142038946
"36","273",0.438674551607863,0.36040586803458,0.96233982754656,FALSE,410822,2024,36.7812142038946
"37","274",0.448971522148932,0.282990856303008,1,FALSE,320606,2016,4.25814192981751
"38","274",0.448971522148932,0.282990856303008,1,FALSE,324167,2017,4.25814192981751
"39","274",0.448971522148932,0.282990856303008,1,FALSE,327578,2018,4.25814192981751
"40","274",0.448971522148932,0.282990856303008,1,FALSE,330277,2019,4.25814192981751
"41","274",0.448971522148932,0.282990856303008,1,FALSE,332463,2020,4.25814192981751
"42","274",0.448971522148932,0.282990856303008,1,FALSE,332775,2021,4.25814192981751
"43","274",0.448971522148932,0.282990856303008,1,FALSE,333888,2022,4.25814192981751
"44","274",0.448971522148932,0.282990856303008,1,FALSE,332896,2023,4.25814192981751
"45","274",0.448971522148932,0.282990856303008,1,FALSE,332896,2024,4.25814192981751
"46","275",0.447293036756554,0.371279316148706,0.94869741195335,FALSE,1144731,2016,22.7629634727099
"47","275",0.447293036756554,0.371279316148706,0.94869741195335,FALSE,1165358,2017,22.7629634727099
"48","275",0.447293036756554,0.371279316148706,0.94869741195335,FALSE,1187921,2018,22.7629634727099
"49","275",0.447293036756554,0.371279316148706,0.94869741195335,FALSE,1216460,2019,22.7629634727099
"50","275",0.447293036756554,0.371279316148706,0.94869741195335,FALSE,1239324,2020,22.7629634727099
"51","275",0.447293036756554,0.371279316148706,0.94869741195335,FALSE,1273617,2021,22.7629634727099
"52","275",0.447293036756554,0.371279316148706,0.94869741195335,FALSE,1303568,2022,22.7629634727099
"53","275",0.447293036756554,0.371279316148706,0.94869741195335,FALSE,1332346,2023,22.7629634727099
"54","275",0.447293036756554,0.371279316148706,0.94869741195335,FALSE,1332346,2024,22.7629634727099
"55","276",0.617682120101924,0.702539648645013,1,TRUE,529926,2016,6.4145407123645
"56","276",0.617682120101924,0.702539648645013,1,TRUE,539588,2017,6.4145407123645
"57","276",0.617682120101924,0.702539648645013,1,TRUE,546672,2018,6.4145407123645
"58","276",0.617682120101924,0.702539648645013,1,TRUE,555041,2019,6.4145407123645
"59","276",0.617682120101924,0.702539648645013,1,TRUE,564549,2020,6.4145407123645
"60","276",0.617682120101924,0.702539648645013,1,TRUE,554141,2021,6.4145407123645
"61","276",0.617682120101924,0.702539648645013,1,TRUE,557120,2022,6.4145407123645
"62","276",0.617682120101924,0.702539648645013,1,TRUE,560455,2023,6.4145407123645
"63","276",0.617682120101924,0.702539648645013,1,TRUE,560455,2024,6.4145407123645
"64","277",0.696125066773176,0.864261725361373,1,TRUE,279524,2016,2.68021210689347
"65","277",0.696125066773176,0.864261725361373,1,TRUE,285865,2017,2.68021210689347
"66","277",0.696125066773176,0.864261725361373,1,TRUE,290115,2018,2.68021210689347
"67","277",0.696125066773176,0.864261725361373,1,TRUE,294960,2019,2.68021210689347
"68","277",0.696125066773176,0.864261725361373,1,TRUE,302099,2020,2.68021210689347
"69","277",0.696125066773176,0.864261725361373,1,TRUE,304908,2021,2.68021210689347
"70","277",0.696125066773176,0.864261725361373,1,TRUE,307921,2022,2.68021210689347
"71","277",0.696125066773176,0.864261725361373,1,TRUE,313633,2023,2.68021210689347
"72","277",0.696125066773176,0.864261725361373,1,TRUE,313633,2024,2.68021210689347
"73","278",0.326346101006303,0.302023548261074,0.873696489961902,FALSE,549069,2016,11.0966082873897
"74","278",0.326346101006303,0.302023548261074,0.873696489961902,FALSE,549176,2017,11.0966082873897
"75","278",0.326346101006303,0.302023548261074,0.873696489961902,FALSE,549092,2018,11.0966082873897
"76","278",0.326346101006303,0.302023548261074,0.873696489961902,FALSE,547384,2019,11.0966082873897
"77","278",0.326346101006303,0.302023548261074,0.873696489961902,FALSE,547768,2020,11.0966082873897
"78","278",0.326346101006303,0.302023548261074,0.873696489961902,FALSE,526022,2021,11.0966082873897
"79","278",0.326346101006303,0.302023548261074,0.873696489961902,FALSE,523624,2022,11.0966082873897
"80","278",0.326346101006303,0.302023548261074,0.873696489961902,FALSE,522211,2023,11.0966082873897
"81","278",0.326346101006303,0.302023548261074,0.873696489961902,FALSE,522211,2024,11.0966082873897
"82","279",0.17948835078546,0.147801850140883,0.500730852433927,FALSE,197819,2016,0.989699259796056
"83","279",0.17948835078546,0.147801850140883,0.500730852433927,FALSE,197365,2017,0.989699259796056
"84","279",0.17948835078546,0.147801850140883,0.500730852433927,FALSE,197040,2018,0.989699259796056
"85","279",0.17948835078546,0.147801850140883,0.500730852433927,FALSE,197078,2019,0.989699259796056
"86","279",0.17948835078546,0.147801850140883,0.500730852433927,FALSE,198509,2020,0.989699259796056
"87","279",0.17948835078546,0.147801850140883,0.500730852433927,FALSE,195682,2021,0.989699259796056
"88","279",0.17948835078546,0.147801850140883,0.500730852433927,FALSE,196371,2022,0.989699259796056
"89","279",0.17948835078546,0.147801850140883,0.500730852433927,FALSE,197146,2023,0.989699259796056
"90","279",0.17948835078546,0.147801850140883,0.500730852433927,FALSE,197146,2024,0.989699259796056
"91","280",0.573244242122971,0.596684231241331,1,TRUE,700586,2016,13.3739745421399
"92","280",0.573244242122971,0.596684231241331,1,TRUE,710992,2017,13.3739745421399
"93","280",0.573244242122971,0.596684231241331,1,TRUE,720948,2018,13.3739745421399
