"","model_id","term","estimate","std.error","statistic","p.value","conf.low","conf.high","model_type","model_group","null.deviance","df.null","logLik","AIC","BIC","deviance","df.residual","nobs","plot_estimate"
"1",10,"inundation_exposureTRUE:hurricane_3weekTRUE",1.12615020289492,0.307262759447638,0.386655760514817,0.699021465726856,0.615644374909466,2.06799227383444,"CITS: season FEs","Sensitivity analyses",948188.649847976,7939,NA,NA,NA,685410.377483703,7915,7940,"1.13 [0.62, 2.07]"
"2",11,"inundation_exposureTRUE:hurricane_3weekTRUE",1.09494044082711,0.528780226116355,0.171526780637405,0.863809574572099,0.39311511594786,3.22856969657172,"CITS: negative binomial (3-week)","Sensitivity analyses",9605.53882528258,7939,-35161.7572503159,70407.5145006318,70700.66057991,9069.73249063879,7899,7940,"1.09 [0.39, 3.23]"
"3",12,"inundation_exposureTRUE:hurricane_5weekTRUE",1.14723290865224,0.434756759775032,0.315930398843069,0.752055337796473,0.492494329069883,2.75232860377687,"CITS: negative binomial (5-week)","Sensitivity analyses",9605.716531658,7939,-35161.6718491939,70407.3436983878,70700.4897776659,9069.72804476526,7899,7940,"1.15 [0.49, 2.75]"
"4",13,"inundation_exposureTRUE:hurricane_8weekTRUE",1.16454871991501,0.350952539265212,0.43405768600971,0.664246551652827,0.58786886563416,2.34705634370783,"CITS: negative binomial (8-week)","Sensitivity analyses",9605.76614581511,7939,-35161.6478105925,70407.295621185,70700.4417004631,9069.72641244696,7899,7940,"1.16 [0.59, 2.35]"
"5",14,"inundation_exposureTRUE:hurricane_3weekTRUE",1.09041990288301,0.317995599957728,0.272213999415467,0.785464594818945,0.583832863531598,2.04392383939255,"CITS: mean daily temp + humidity","Sensitivity analyses",948188.649847974,7939,NA,NA,NA,673937.886833674,7897,7940,"1.09 [0.58, 2.04]"
"6",15,"inundation_exposureTRUE:hurricane_3weekTRUE",1.09285684395528,0.318345192900318,0.278927488959836,0.78030777601584,0.584731976546747,2.04993432776906,"CITS: max daily temp + humidity","Sensitivity analyses",948188.64984797,7939,NA,NA,NA,676092.24895141,7897,7940,"1.09 [0.58, 2.05]"
"7",16,"inundation_exposureTRUE:hurricane_3weekTRUE",1.08953945818646,0.317253832073583,0.270304352103482,0.786933181009651,0.584216470995909,2.03925827549069,"CITS: min daily temp + humidity","Sensitivity analyses",948188.649847971,7939,NA,NA,NA,672661.033074814,7897,7940,"1.09 [0.58, 2.04]"
"8",17,"inundation_exposureTRUE:hurricane_3weekTRUE",1.13997566885861,0.32136991067426,0.407651478003322,0.683540754544154,0.606391282640334,2.15068292320155,"CITS: excl. 5-week period","Sensitivity analyses",932945.049999214,7839,NA,NA,NA,672113.813572788,7799,7840,"1.14 [0.61, 2.15]"
